STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GTM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Guatemala,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZAF,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,South Africa,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,57.5,,,55.7,,45.8,,,,46.7,,,,,,,,37.9,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MUS,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mauritius,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,10.4,,,,,,8.4,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GHA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ghana,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,51.7,,,,,,,39.5,,,,,,,31.9,,,,,,,24.2,,,,23.4,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PNG,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Papua New Guinea,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,37.5,,,,,,,,,,,,,39.9,,,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ITA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Italy,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,18.9,19.2,19.3,19.5,18.9,18.4,18.7,19.8,19.5,19.3,19.4,19.9,20.6,20.3,20.3,20.1,20.0,20.1,20.1,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PHL,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Philippines,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,16.7,,,18.1,,15.5,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COG,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Congo, Rep.",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,40.9,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GNB,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Guinea-Bissau,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,49.0,,58.5,,,,,,,,,64.7,,,,,,,,48.7,,,,,,,,47.7,,,50.5,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GBR,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,United Kingdom,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,18.6,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LTU,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lithuania,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,20.5,20.0,19.1,20.9,20.3,20.5,19.2,18.6,20.6,19.1,22.2,21.9,22.9,22.9,20.6,20.9,20.0,20.9,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BOL,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bolivia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,42.2,39.9,37.2,39.0,36.4,37.7,36.5,37.7,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SEN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Senegal,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,,37.5,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SWE,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Sweden,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,13.5,14.4,14.8,15.4,15.2,16.0,15.6,16.3,16.2,15.8,16.4,17.1,16.1,15.7,16.0,16.1,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MLT,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Malta,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,14.3,14.2,15.1,15.3,14.9,15.5,15.6,15.1,15.8,15.8,16.6,16.5,16.7,16.8,17.1,16.9,16.9,16.7,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLE,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Sierra Leone,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,,,,,,,56.8,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Albania,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,25.4,,,18.5,,,12.4,,,,14.3,,,,23.7,23.4,23.0,21.8,22.0,20.6,19.7,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TZA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Tanzania,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,38.6,,,,,,,,,35.6,,,,,,,34.4,,,,28.2,,,,,,,26.4,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,STP,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,São Tomé and Príncipe,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TCD,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Chad,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,,,,44.8,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BWA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Botswana,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,59.0,,,,,,,,32.9,,,,,,,,,30.6,,,,,,,19.3,,,,,,16.1,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KHM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Cambodia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,47.0,,,,,,,,,50.2,,,45.0,,34.0,23.9,22.1,20.5,17.7,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ESP,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Spain,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,20.1,20.1,20.3,19.7,19.8,20.4,20.7,20.6,20.8,20.4,22.2,22.1,22.3,21.6,21.5,20.7,21.0,21.7,20.4,20.2,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Afghanistan,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,38.3,,,,,54.5,,,47.1,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TUN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Tunisia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,25.4,,,,,23.1,,,,,20.5,,,,,15.2,,,,,,16.6,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EGY,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Egypt, Arab Rep.",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UKR,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ukraine,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,51.1,34.9,27.6,23.1,23.2,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,RUS,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Russian Federation,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,29.0,27.5,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13.0,12.5,12.7,10.8,10.8,11.3,13.5,13.3,13.0,12.7,12.4,12.2,11.1,9.0,8.3,7.2,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HTI,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Haiti,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,59.6,,,,,,,,,,,,,48.0,77.0,,,,,,,,,,,58.5,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AGO,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Angola,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,India,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,45.3,,,,,,,,,,,37.2,,,,,29.8,,21.9,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BDI,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Burundi,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Armenia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,53.5,40.1,30.2,26.4,27.6,34.1,35.8,35.0,32.4,32.0,30.0,29.8,29.4,25.7,23.5,26.4,27.0,26.5,,,21.7,
