STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDG,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Madagascar,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MYS,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Malaysia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,6.2,,5.1,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ROU,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Romania,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,24.6,23.6,22.1,21.6,22.3,22.9,23.0,25.1,25.4,25.3,23.6,23.5,23.8,23.4,22.5,21.2,21.1,19.0,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HRV,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Croatia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,20.3,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Moldova,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,26.8,24.5,31.1,31.6,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,WSM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Samoa,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,22.9,,,,,,26.9,,,,,18.8,,,,,21.9,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TON,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Tonga,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BLR,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Belarus,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,38.6,32.1,33.0,46.7,41.9,28.9,30.5,27.1,17.8,12.7,11.1,7.7,6.1,5.4,5.2,7.3,6.3,5.5,4.8,5.1,5.7,5.9,5.6,5.0,4.8,4.1,3.9,3.6,3.5,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UGA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uganda,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,56.4,,,,44.4,,,33.8,,,38.8,,,31.1,,,,24.5,,,19.7,,,,21.4,,,20.3,,,,16.1,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DJI,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Djibouti,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FRA,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,France,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHE,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Switzerland,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,15.0,15.7,15.6,15.0,15.0,15.9,14.5,13.8,15.6,14.7,15.5,14.6,16.0,15.5,14.7,15.8,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MEX,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mexico,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,41.9,,43.9,,36.3,,29.6,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NER,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Niger,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,41.2,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGD,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bangladesh,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDV,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Maldives,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Netherlands,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,13.2,13.3,13.2,13.4,14.4,14.5,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLV,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,El Salvador,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,24.6,26.6,27.2,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HUN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Hungary,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,13.5,15.9,12.3,12.4,12.4,12.3,14.1,14.3,15.0,15.0,14.9,14.5,13.4,12.8,12.3,12.3,12.6,12.1,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,32.2,,,,,,,,,,22.5,,,,,,30.4,,38.3,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUT,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Austria,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,13.2,13.0,12.6,12.6,12.0,15.2,14.5,14.7,14.5,14.4,14.4,14.1,13.9,14.1,14.4,14.3,13.3,13.9,14.7,14.8,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Vietnam,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,58.1,,,,,37.4,,,,,28.9,,19.5,,16.0,,14.5,,20.7,,17.2,,13.5,,9.2,7.9,6.8,5.7,4.8,4.4,4.2,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IRL,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ireland,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,12.9,14.0,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYC,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Seychelles,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,25.3,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GMB,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Gambia, The",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,48.6,,,,,53.4,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SDN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Sudan,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GRD,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Grenada,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLB,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,China,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,49.8,,,,,30.2,,,,,17.2,12.7,10.2,8.5,7.2,5.7,4.5,3.1,1.7,0.6,0.0,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECU,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ecuador,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,64.4,54.9,,49.9,44.6,42.2,37.6,36.7,35.1,36.0,32.8,28.6,27.3,25.6,22.5,23.3,22.9,21.5,23.2,25.0,33.0,27.7,25.2,26.0,28.0,21.4
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FSM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Micronesia, Fed. Sts.",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ETH,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ethiopia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,45.5,,,,44.2,,,,,38.7,,,,,,29.6,,,,,23.5,,,,,,33.1,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.8,,,,,29.2,,,,,,,32.8,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SOM,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Somalia, Federal Republic of",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MHL,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Marshall Islands,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Venezuela, RB",Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,55.6,49.0,42.8,41.6,31.1,41.1,54.0,53.1,42.4,33.1,27.5,27.7,26.4,26.8,27.4,27.2,29.4,29.5,33.1,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BTN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bhutan,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MAR,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Morocco,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,16.3,,15.3,,,,,,8.9,,,,,,,4.8,,,,,,,,,3.9,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,POL,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Poland,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,12.1,11.7,12.2,13.3,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LUX,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Luxembourg,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NOR,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Norway,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,12.2,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GAB,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Gabon,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRT,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Portugal,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,20.4,19.4,18.5,18.1,18.5,17.9,17.9,18.0,17.9,18.7,19.5,19.5,19.0,18.3,17.3,17.2,16.2,18.4,16.4,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Colombia,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,38.7,37.0,36.8,36.8,35.9,35.5,36.5,43.1,39.7,36.6,34.6,31.8,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Panama,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,37.9,,,,,36.6,38.3,36.5,33.8,33.4,29.8,27.6,26.5,25.8,25.6,23.0,22.1,20.7,21.4,21.5,,21.8,22.2,21.7,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEN,WB_WDI_SI_POV_NAHC,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Benin,Poverty headcount ratio at national poverty lines (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,36.2,,,,
